,Количество комнат,Цена квартиры,Площадь,Район,Ссылка
23,3,5540000,69.9,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
24,3,5730000,72.3,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
25,3,5850000,74.05,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
26,3,5990000,77.4,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
27,1,3081195,29.77,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
28,1,3160920,29.68,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
29,1,3168000,31.68,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
30,1,3284135,28.19,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
31,1,3417570,33.02,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
32,1,3820285,35.21,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
33,1,3950960,37.99,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
34,1,4026960,39.48,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
35,1,4038450,37.05,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
36,1,4093220,39.74,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
37,1,4177460,39.41,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
